omega_m,alpha_qg,correction_power_n,dt_main,q1_delta_proxy_l2,q1_refinement_max_obs,q2_D_p95,q2_D_p99,q2_true_replication_rel_diff,pass_q1,pass_q2,pass_joint
0.295,5e-07,4,0.0008,0.002586436504396621,1.0942214971131918e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,4,0.001,0.0025865890476340424,1.7076508628155026e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,4,0.0012,0.0025867416742744245,2.4690315846793815e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,5,0.0008,0.019349607077430032,1.0942214971131918e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,5,0.001,0.019350740787387268,1.7076508628155026e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,5,0.0012,0.019351875277531228,2.4690315846793815e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,6,0.0008,0.14679309664431425,1.0942214971131918e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,6,0.001,0.14680135319858162,1.7076508628155026e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.295,5e-07,6,0.0012,0.14680961707735105,2.4690315846793815e-07,0.13262706322571094,0.15044887202277613,0.0,True,True,True
0.3,5e-07,4,0.0008,0.006705062202254371,1.7315641826579947e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,4,0.001,0.0067060955821142635,2.7957944614838807e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,4,0.0012,0.006707129667858559,4.236270686337952e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,5,0.0008,0.04904823423305771,1.7315641826579947e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,5,0.001,0.049055523353736384,2.7957944614838807e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,5,0.0012,0.0490628177322233,4.236270686337952e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,6,0.0008,0.3341060639353905,1.7315641826579947e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,6,0.001,0.3341485102311033,2.7957944614838807e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.3,5e-07,6,0.0012,0.3341909881577023,4.236270686337952e-07,0.2704349573326371,0.354570193366034,0.0,True,True,True
0.295,1e-06,4,0.0008,0.005166885413195848,1.0942214971131918e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,4,0.001,0.00516718986002244,1.7076508628155026e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,4,0.0012,0.005167494473174585,2.4690315846793815e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,5,0.0008,0.03837638694261418,1.0942214971131918e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,5,0.001,0.038378620552811354,1.7076508628155026e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,5,0.0012,0.038380855694477266,2.4690315846793815e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,6,0.0008,0.27866545424633293,1.0942214971131918e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,6,0.001,0.27868058838451976,1.7076508628155026e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.295,1e-06,6,0.0012,0.2786957356207824,2.4690315846793815e-07,0.12958186180521403,0.14683664166920107,0.0,True,True,True
0.3,1e-06,4,0.0008,0.013347322643589031,1.7315641826579947e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,4,0.001,0.013349367334776867,2.7957944614838807e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,4,0.0012,0.013351413416321371,4.236270686337952e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,5,0.0008,0.09521590191561018,1.7315641826579947e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,5,0.001,0.09522958011196747,2.7957944614838807e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,5,0.0012,0.09524326797028304,4.236270686337952e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,6,0.0008,0.5948217069969426,1.7315641826579947e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,6,0.001,0.594891244268103,2.7957944614838807e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
0.3,1e-06,6,0.0012,0.594960831266974,4.236270686337952e-07,0.2430781790940743,0.3032376604795471,0.0,True,True,True
