ic_scale,ic_delta_pct,spearman_l2_vs_baseline,spearman_maxabs_vs_baseline,spearman_terminal_vs_baseline,max_rel_drift_primary_l2,template_ratio_cv,pass_case
0.9988,-0.11999999999999789,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.18526886778702148,4.714985300640926e-15,False
0.999,-0.10000000000000009,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.14830378674833755,4.9126584777598535e-15,False
0.9991,-0.09000000000000119,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.13094161670508012,5.021105604625163e-15,False
0.9992,-0.08000000000000229,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.11425069222166649,5.107508596128627e-15,False
0.9993,-0.07000000000000339,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09818237346260698,5.20338210987651e-15,True
0.9994,-0.060000000000004494,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.08269333775835887,5.312855095420905e-15,True
0.9995,-0.04999999999999449,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.06774481242529795,5.391387499249709e-15,True
0.9996,-0.039999999999995595,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.05330194307620789,5.499807754328216e-15,True
0.9997,-0.029999999999996696,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.039333269322843326,5.5393342580827486e-15,True
0.9998,-0.019999999999997797,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.02581028664374264,5.667359596332309e-15,True
0.9999,-0.009999999999998899,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.012707077658230983,5.751341046403806e-15,True
1.0,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,5.7914920024002965e-15,True
1.0001,0.009999999999998899,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.012332579389604087,5.89360091395858e-15,True
1.0002,0.019999999999997797,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.024310511778479746,5.949593929964032e-15,True
1.0003,0.029999999999996696,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.03595206231820138,6.05840068052099e-15,True
1.0004,0.039999999999995595,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.04727407919671273,6.098146940684939e-15,True
1.0005,0.04999999999999449,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.058292140447581825,6.224183963969814e-15,True
1.0006,0.05999999999999339,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.06902068197381261,6.263862169095913e-15,True
1.0007,0.06999999999999229,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.07947310954952329,6.3649774440886684e-15,True
1.0008,0.07999999999999119,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.08966189720888292,6.429332114114341e-15,True
1.0009,0.08999999999999009,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09959867397772769,6.490960476677505e-15,True
1.001,0.09999999999998899,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.10929430057576929,6.576794774766856e-15,False
1.0011,0.11000000000001009,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.118758937438075,6.663373245759234e-15,False
1.0012,0.12000000000000899,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.1280021052954868,6.702658319826374e-15,False
