case,alpha_qg,proxy_primary_l2,proxy_template_maxabs,proxy_template_terminal
baseline,3e-07,0.029818060047019035,0.04584866764823792,0.04584866764823792
baseline,5e-07,0.049055523353736384,0.0748924195212789,0.0748924195212789
baseline,7e-07,0.06783513906801192,0.10288968685313726,0.10288968685313726
baseline,1e-06,0.09522958011196747,0.14316996789663095,0.14316996789663095
baseline,1.3e-06,0.12178855064762262,0.18165909511004585,0.18165909511004585
nuisance_ic_minus_0p1pct,3e-07,0.03424019126548142,0.05366472456644472,0.05366472456644472
nuisance_ic_minus_0p1pct,5e-07,0.05610571076766932,0.08696050555410151,0.08696050555410151
nuisance_ic_minus_0p1pct,7e-07,0.07731175245950594,0.11865012515302054,0.11865012515302054
nuisance_ic_minus_0p1pct,1e-06,0.10803822898992785,0.16366704523459513,0.16366704523459513
nuisance_ic_minus_0p1pct,1.3e-06,0.13763023687004236,0.20616099469658827,0.20616099469658827
nuisance_ic_plus_0p1pct,3e-07,0.02655911602965369,0.04080932734579479,0.04080932734579479
nuisance_ic_plus_0p1pct,5e-07,0.04379839414573238,0.06695691444069052,0.06695691444069052
nuisance_ic_plus_0p1pct,7e-07,0.060696632938492014,0.09235187681017776,0.09235187681017776
nuisance_ic_plus_0p1pct,1e-06,0.08545575467852408,0.12917681353077448,0.12917681353077448
nuisance_ic_plus_0p1pct,1.3e-06,0.10956904847010746,0.16464388766432692,0.16464388766432692
nuisance_dt_minus_10pct,3e-07,0.02980225154485284,0.04582477766845183,0.04582477766845183
nuisance_dt_minus_10pct,5e-07,0.049029919740719,0.074854265289449,0.074854265289449
nuisance_dt_minus_10pct,7e-07,0.06780023765876449,0.10283832081204253,0.10283832081204253
nuisance_dt_minus_10pct,1e-06,0.09518152759703398,0.14310039302639316,0.14310039302639316
nuisance_dt_minus_10pct,1.3e-06,0.12172815691210147,0.18157287661670213,0.18157287661670213
nuisance_dt_plus_10pct,3e-07,0.029806751411997914,0.0458247857817452,0.0458247857817452
nuisance_dt_plus_10pct,5e-07,0.049037207403248136,0.07485427801657435,0.07485427801657435
nuisance_dt_plus_10pct,7e-07,0.06781017131556343,0.10283833766154632,0.10283833766154632
nuisance_dt_plus_10pct,1e-06,0.09519520340669232,0.14310041532455248,0.14310041532455248
nuisance_dt_plus_10pct,1.3e-06,0.12174534397321114,0.18157290366513185,0.18157290366513185
