run_id,json_file,alpha_qg,omega_m,omega_l,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_rel,q2_D_star,q2_replication_rel_diff,pass_q1_effect,pass_q1_refinement,pass_q1_assumption,pass_q2_Dstar,pass_q2_replication,pass_all
0,run_000_alpha_1.000e-08_om_0.250.json,1e-08,0.25,0.75,6.0191900983031286e-05,7.899525788136042e-08,0.8676852831003932,0.0206325039805121,0.9999807523073133,False,True,False,True,False,False
1,run_001_alpha_1.000e-08_om_0.300.json,1e-08,0.3,0.7,0.0010141706816653875,2.7957944614838807e-07,0.8671300535991615,0.07310510291341919,0.9999916538675051,True,True,False,True,False,False
2,run_002_alpha_1.000e-08_om_0.350.json,1e-08,0.35,0.65,638.2618087078456,0.826071048751095,0.9999817652877857,11.059810432997535,19136819.01036732,True,False,False,True,False,False
3,run_003_alpha_2.154e-08_om_0.250.json,2.1544346900318822e-08,0.25,0.75,0.0001296755053179785,7.899525788136042e-08,0.8676817309112729,0.02062960302395386,0.9999807462563379,True,True,False,True,False,False
4,run_004_alpha_2.154e-08_om_0.300.json,2.1544346900318822e-08,0.3,0.7,0.0021831393774445038,2.7957944614838807e-07,0.8670338185623594,0.07284082771493534,0.9999916385810524,True,True,False,True,False,False
5,run_005_alpha_2.154e-08_om_0.350.json,2.1544346900318822e-08,0.35,0.65,76.98924574167158,0.8465589642049682,0.9997068011514348,0.008073961736365487,685.7196289719913,True,False,False,True,False,False
6,run_006_alpha_4.642e-08_om_0.250.json,4.641588833612782e-08,0.25,0.75,0.0002793587783230038,7.899525788136042e-08,0.8676740785942315,0.020623354180917937,0.9999807332161283,True,True,False,True,False,False
7,run_007_alpha_4.642e-08_om_0.300.json,4.641588833612782e-08,0.3,0.7,0.004695017746557146,2.7957944614838807e-07,0.8668275542583123,0.07250213839705487,0.9999916317129265,True,True,False,True,False,False
8,run_008_alpha_4.642e-08_om_0.350.json,4.641588833612782e-08,0.35,0.65,182.44434275529608,182.983446566116,0.9997800943686997,0.012952439116206926,293543.24016913056,True,False,False,True,False,False
9,run_009_alpha_1.000e-07_om_0.250.json,1e-07,0.25,0.75,0.0006017738121265243,7.899525788136042e-08,0.867657596602291,0.020609896458335667,0.9999807051079277,True,True,False,True,False,False
10,run_010_alpha_1.000e-07_om_0.300.json,1e-07,0.3,0.7,0.010076623804269946,2.7957944614838807e-07,0.8663880248569763,0.07171110629475136,0.9999916083411236,True,True,False,True,False,False
11,run_011_alpha_1.000e-07_om_0.350.json,1e-07,0.35,0.65,386.0608778978772,22.83876106264115,0.9998360174968819,0.0874390895877024,219.46776640659877,True,False,False,True,False,False
12,run_012_alpha_2.154e-07_om_0.250.json,2.1544346900318822e-07,0.25,0.75,0.0012960815624394903,7.899525788136042e-08,0.8676221074790579,0.020580925877030958,0.9999806444854957,True,True,False,True,False,False
13,run_013_alpha_2.154e-07_om_0.300.json,2.1544346900318822e-07,0.3,0.7,0.021536187818329167,2.7957944614838807e-07,0.8654626450514736,0.06982046956871373,0.9999915283505076,True,True,False,True,False,False
14,run_014_alpha_2.154e-07_om_0.350.json,2.1544346900318822e-07,0.35,0.65,44.102273121097895,39.12682418842092,0.9979898263207211,167278.55637321286,0.9999322480421157,True,False,False,True,False,False
15,run_015_alpha_4.642e-07_om_0.250.json,4.6415888336127725e-07,0.25,0.75,0.002790466280971449,7.899525788136042e-08,0.8675457424291149,0.020518617830033836,0.999980513581823,True,True,False,True,False,False
16,run_016_alpha_4.642e-07_om_0.300.json,4.6415888336127725e-07,0.3,0.7,0.045642962745745384,2.7957944614838807e-07,0.863560446134537,0.06648980728457494,0.999991414358074,True,True,False,True,False,False
17,run_017_alpha_4.642e-07_om_0.350.json,4.6415888336127725e-07,0.35,0.65,0.3535330267290821,0.6591755680843937,3449.9981318267646,243.7346968105459,0.9993901436761814,True,False,False,True,False,False
18,run_018_alpha_1.000e-06_om_0.250.json,1e-06,0.25,0.75,0.006003294798170183,7.899525788136042e-08,0.8673816528151764,0.020384872774815675,0.999980230159695,True,True,False,True,False,False
19,run_019_alpha_1.000e-06_om_0.300.json,1e-06,0.3,0.7,0.09522958011196747,2.7957944614838807e-07,0.8598191095762259,0.06162154768669734,0.999991368218216,True,True,False,True,False,False
20,run_020_alpha_1.000e-06_om_0.350.json,1e-06,0.35,0.65,1.0668701342479414,0.45563615231864085,15481.225800628332,49.66214866548937,0.9625316495968356,True,False,False,True,False,False
