omega_m,alpha_qg,q1_delta_alpha,q1_delta_2alpha,ratio_2a_over_a,abs_ratio_err_from2
0.28,2.0000000000000002e-07,0.002782111070004138,0.005557666618382842,1.9976436880259338,0.002356311974066161
0.28,3.1697863849222287e-07,0.004406307364931335,0.008796217982087665,1.9962788007238217,0.003721199276178311
0.28,5.023772863019165e-07,0.0069759145950516206,0.013910917982683211,1.9941353629169938,0.005864637083006219
0.28,7.96214341106994e-07,0.011037069748061684,0.021972453541487445,1.9907868703415805,0.009213129658419472
0.28,1.2619146889603861e-06,0.017445259989849506,0.03463927562335623,1.9855981305815478,0.014401869418452229
0.28,2.0000000000000003e-06,0.027531707360057587,0.054448275241667295,1.977657052996928,0.022342947003072045
0.29000000000000004,2.0000000000000002e-07,0.004875715028724397,0.009731303916779665,1.9958721663279013,0.00412783367209868
0.29000000000000004,3.1697863849222287e-07,0.007718142104707851,0.015386117124454422,1.993500108668293,0.00649989133170692
0.29000000000000004,5.023772863019165e-07,0.012209111737789474,0.02429372171179246,1.9898025534975554,0.010197446502444585
0.29000000000000004,7.96214341106994e-07,0.019292172013389102,0.03827744604394935,1.9840920979442935,0.01590790205570647
0.29000000000000004,1.2619146889603861e-06,0.030432788993776053,0.060116829285923656,1.9753966453162228,0.024603354683777168
0.29000000000000004,2.0000000000000003e-06,0.047881930663709195,0.09396499912990242,1.962431293546788,0.037568706453211975
0.30000000000000004,2.0000000000000002e-07,0.02001355855103689,0.03949671386768918,1.9734978048489487,0.026502195151051344
0.30000000000000004,3.1697863849222287e-07,0.03147006149809061,0.06168196339524499,1.9600204276367708,0.03997957236322924
0.30000000000000004,5.023772863019165e-07,0.049281351280584314,0.09565676220624694,1.9410336713703609,0.05896632862963913
0.30000000000000004,7.96214341106994e-07,0.07671806143666272,0.1469568665563874,1.9155445771751005,0.08445542282489948
0.30000000000000004,1.2619146889603861e-06,0.11845995992988212,0.22309208297053582,1.8832699513201323,0.11673004867986769
0.30000000000000004,2.0000000000000003e-06,0.18097430532503286,0.33389489438138825,1.8449850865939539,0.15501491340604612
0.31,2.0000000000000002e-07,11.990126212860398,0.17806594197353054,0.014851048171831596,1.9851489518281684
0.31,3.1697863849222287e-07,0.6801843174167855,0.42257189053927396,0.621260854916684,1.378739145083316
0.31,5.023772863019165e-07,0.3173133817788958,0.5542939148615024,1.7468343495444925,0.25316565045550754
0.31,7.96214341106994e-07,0.4226254320550814,0.7791205588894673,1.8435250219109425,0.15647497808905753
0.31,1.2619146889603861e-06,0.6670123653350429,0.8603624353931231,1.2898747910932031,0.7101252089067969
0.31,2.0000000000000003e-06,0.8374479260249543,0.8713585875791235,1.0404928599144416,0.9595071400855584
0.32,2.0000000000000002e-07,22.553470218524,0.5224258515703704,0.02316387884030736,1.9768361211596925
0.32,3.1697863849222287e-07,10.374070344641055,0.8361605758532366,0.08060101272449659,1.9193989872755035
0.32,5.023772863019165e-07,0.5950141824116982,1.0509659042198625,1.7662871495938284,0.23371285040617162
0.32,7.96214341106994e-07,0.9491432271988696,1.288304246832569,1.3573338669176798,0.6426661330823202
0.32,1.2619146889603861e-06,1.200421979806996,1.340459462493048,1.1166568798653338,0.8833431201346662
0.32,2.0000000000000003e-06,1.31879939639992,1.3716537469810537,1.0400776272156442,0.9599223727843558
