run_id,omega_m,alpha_qg,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_hardened,q2_D_star,q2_D_median,q2_D_trimmed_mean,q2_D_p95,q2_D_p99,q2_D_max,q2_spike_ratio_max_over_median,q2_spike_detected,q2_true_replication_rel_diff,q2_method_disagreement_rel_diff,q2_t_first_method_disagreement_1pct,pass_q2_robust_bulk,pass_all_envelope
0,0.285,3e-07,0.005314325596903124,1.1565351987195533e-07,0.022722480031517465,0.030391828224667017,0.020321274532805855,0.02838046691606117,0.09024272679048373,0.10096960302806135,0.10381798139845166,5.108832186231575,False,0.0,0.9999934029701293,0.734,True,True
1,0.285,5e-07,0.008844006206003889,1.1565351987195533e-07,0.022688151520839736,0.030270480961900745,0.020256512511110603,0.028269916887763143,0.08983909493214925,0.10051252791389853,0.10334674626859153,5.101902225859521,False,0.0,0.9999933524105901,0.736,True,True
2,0.285,7e-07,0.012363238898718843,1.1565351987195533e-07,0.022654160610794255,0.030150040791061962,0.020192036576296202,0.02816015572289564,0.08943905135733843,0.10005961066362623,0.10287982016636343,5.095069027714165,False,0.0,0.9999933016164831,0.738,True,True
3,0.285,1e-06,0.017622708683782295,1.1565351987195533e-07,0.02260379508293761,0.02997105052194121,0.02009585294325622,0.027996967163454376,0.08884557926785464,0.09938787156334428,0.10218734470178692,5.08499664036773,False,0.0,0.9999932250074394,0.741,True,True
4,0.285,1.3e-06,0.022859206511955343,1.1565351987195533e-07,0.022554158334786925,0.029794023160748643,0.020000297352394614,0.027835487823594268,0.08825983985121866,0.09872508492940746,0.10150414536501895,5.075131813120813,False,0.0,0.9999931479197399,0.744,True,True
5,0.29,3e-07,0.007306008612131904,1.346810514391057e-07,0.03017320121863169,0.03427744884586406,0.02184952692392028,0.031819703572650314,0.10471997397703614,0.11758630050938934,0.12100119515745345,5.537932037557253,False,0.0,0.9999937065182807,0.69775,True,True
6,0.29,5e-07,0.012151633727055253,1.346810514391057e-07,0.030107350950982804,0.034106548657480584,0.021772769857974716,0.031667019071002875,0.10410657247657107,0.11688258336241408,0.12027349512624275,5.524032813040764,False,0.0,0.9999937731305264,0.6995,True,True
7,0.29,7e-07,0.016977526156602127,1.346810514391057e-07,0.030042424551662235,0.03393754126608315,0.0216964369109921,0.03151592896390285,0.1035013855013307,0.11618860055423852,0.1195559357008138,5.510394918358114,False,0.0,0.9999938298386329,0.7015,True,True
8,0.29,1e-06,0.024179922226339,1.346810514391057e-07,0.02994671980643083,0.03368748801308712,0.0215827218443726,0.03129220989631142,0.10260856445716904,0.11516533817717689,0.11849804390843732,5.490412412432985,False,0.0,0.9999938998280212,0.704,True,True
9,0.29,1.3e-06,0.03133932903788141,1.346810514391057e-07,0.029852974533538534,0.033441464011566606,0.02146993340263592,0.03107189329292932,0.10173311358293913,0.11416262217884232,0.11746154693808974,5.470978634878449,False,0.0,0.9999939496510609,0.70675,True,True
10,0.295,3e-07,0.011650208052401622,1.7076508628155026e-07,0.046951590154802166,0.04132459272875869,0.023882300758098385,0.037849738063942935,0.13390003247296267,0.15196281473830364,0.1567681221444177,6.564196797130267,False,0.0,0.9999920892332224,0.6657500000000001,True,True
11,0.295,5e-07,0.019350740787387268,1.7076508628155026e-07,0.04676028482628164,0.041017420212900585,0.023786463068867114,0.037587459370211344,0.13262706322571094,0.15044887202277613,0.15518920905622458,6.524265865291141,False,0.0,0.9999921620713879,0.6675,True,True
12,0.295,7e-07,0.02699963554347053,1.7076508628155026e-07,0.046573715248874506,0.04071650649618676,0.023691316256530315,0.03733006762620845,0.13138616535581238,0.1489753250308632,0.15365298825838392,6.485624800016093,False,0.0,0.9999922352854013,0.669,True,True
13,0.295,1e-06,0.038378620552811354,1.7076508628155026e-07,0.04630231497286015,0.040276338136961916,0.023549869388554745,0.036952757097815675,0.12958186180521403,0.14683664166920107,0.15142431325491312,6.429942805903587,False,0.0,0.9999923457845331,0.6715,True,True
14,0.295,1.3e-06,0.04964759859892043,1.7076508628155026e-07,0.046040517612508915,0.039848932517027716,0.023409921085519536,0.03658548428450704,0.1278420951657424,0.1447787457806886,0.14928089245830978,6.376821686538822,False,0.0,0.9999924570706817,0.674,True,True
15,0.3,3e-07,0.029818060047019035,2.7957944614838807e-07,0.14830378674833755,0.0685278581537305,0.026807440523626158,0.05684235167402093,0.28498694701874355,0.3892032151943856,0.4336828770426963,16.177705464289406,False,0.0,0.9999914741160205,0.63725,True,True
16,0.3,5e-07,0.049055523353736384,2.7957944614838807e-07,0.14371852407106783,0.06609439489703442,0.026677094178336858,0.05558724408926187,0.2704349573326371,0.354570193366034,0.3838026865484726,14.38697498245987,False,0.0,0.9999914056975658,0.6385000000000001,True,True
17,0.3,7e-07,0.06783513906801192,2.7957944614838807e-07,0.13970065546696347,0.06410767964420144,0.02654805882612532,0.054449434750161486,0.25824854842148437,0.330215503803594,0.35329564168731664,13.307776813408045,False,0.0,0.9999913754687292,0.64,True,True
18,0.3,1e-06,0.09522958011196747,2.7957944614838807e-07,0.1345028389592845,0.06162154768669734,0.026356908201640827,0.05291639312502084,0.2430781790940743,0.3032376604795471,0.32139125910033084,12.193814867872504,False,0.0,0.999991368218216,0.64225,True,True
19,0.3,1.3e-06,0.12178855064762262,2.7957944614838807e-07,0.13007533251836798,0.05953025457495395,0.026168566675876193,0.05154860240193147,0.2305640167284923,0.2828563106493718,0.2981124101214591,11.39200376596347,False,0.0,0.9999913889588959,0.6445,True,True
