run_id,alpha_qg,assumption,setting,delta_proxy_l2,sens_rel_vs_base
19,1e-06,ic_a0_scale,0.999,0.10803822898992785,0.1345028389592845
19,1e-06,ic_a0_scale,1.001,0.08545575467852408,0.10263434346714101
19,1e-06,dt_main,0.0009,0.09518152759703398,0.0005045965221834707
19,1e-06,dt_main,0.0011,0.09519520340669232,0.00036098768087318276
19,1e-06,correction_power_n,5,0.09522958011196747,0.0
19,1e-06,summary,max_hardened_sens,0.09522958011196747,0.1345028389592845
16,4.6415888336127725e-07,ic_a0_scale,0.999,0.05223812941604885,0.14449471010551546
16,4.6415888336127725e-07,ic_a0_scale,1.001,0.040734839138035696,0.10753297578534365
16,4.6415888336127725e-07,dt_main,0.0009,0.04561907580726785,0.0005233432941370275
16,4.6415888336127725e-07,dt_main,0.0011,0.04562587490579315,0.000374380603805659
16,4.6415888336127725e-07,correction_power_n,5,0.045642962745745384,0.0
16,4.6415888336127725e-07,summary,max_hardened_sens,0.045642962745745384,0.14449471010551546
13,2.1544346900318822e-07,ic_a0_scale,0.999,0.024776276008260628,0.15044854814897718
13,2.1544346900318822e-07,ic_a0_scale,1.001,0.019161596899712096,0.11026050379241109
13,2.1544346900318822e-07,dt_main,0.0009,0.021524689033976138,0.0005339284951463007
13,2.1544346900318822e-07,dt_main,0.0011,0.02152796221903451,0.00038194314444337635
13,2.1544346900318822e-07,correction_power_n,5,0.021536187818329167,0.0
13,2.1544346900318822e-07,summary,max_hardened_sens,0.021536187818329167,0.15044854814897718
