alpha_qg,omega_m,q2_D_star_euler_ref1,q2_D_star_rk4c_ref1,q2_method_disagreement_rel_diff,q2_t_first_method_disagreement_1pct,q2_ref_hierarchy_rel_ref2_vs_ref1
1e-07,0.3,0.07171110629475136,6.017751406781911e-07,0.9999916083411236,0.63575,1.8509819163601791e-10
1.5e-07,0.3,1479.3626110378927,5.972624524441779e-07,0.9999999995962704,0.636,1.8230831040242064e-10
2.1544346900318822e-07,0.3,0.06982046956871373,5.914945445795751e-07,0.9999915283505076,0.6365000000000001,1.786230408906439e-10
3e-07,0.3,0.0685278581537305,5.842605669798495e-07,0.9999914741160205,0.63725,1.7421826300353313e-10
4.6415888336127725e-07,0.3,0.06648980728457494,5.708576760809752e-07,0.999991414358074,0.63825,1.6655022281891152e-10
7e-07,0.3,0.06410767964420144,5.528986867873746e-07,0.9999913754687292,0.64,1.563618881548306e-10
1e-06,0.3,0.06162154768669734,5.319037518265291e-07,0.999991368218216,0.64225,1.453716966795251e-10
1.5e-06,0.3,0.05829501829173954,5.00561759997904e-07,0.9999914133012449,0.646,1.2988803420882448e-10
2e-06,0.3,0.0556139361428253,4.7275094428611156e-07,0.9999914994158285,0.64975,1.1744108862474032e-10
3e-06,0.3,0.05141414307788347,4.2474935791805056e-07,0.9999917386669603,0.6575,9.784104993390519e-11
