alpha_qg,dt_euler,q2_D_star,q2_D_median,q2_D_trimmed_mean,q2_D_p95,q2_D_p99,q2_D_max,q2_spike_ratio_max_over_median,q2_spike_detected,q2_t_first_method_disagreement_1pct,q2_method_disagreement_rel_diff
1e-07,0.001,0.07170435788143689,0.026939124188951613,0.05824260867352835,0.30299491170492726,0.4632457356972325,0.4727968674133979,17.55056564189588,False,0.635625,0.9999915756495108
1.2e-07,0.001,0.07139120918869576,0.02692589488429542,0.05809421464180614,0.3009905939981389,0.4482918929587502,0.4741833516672478,17.610681231018194,False,0.63575,0.9999915642403686
1.5e-07,0.001,1467.2982206544284,0.026906076447255622,0.05787519713885821,0.2980794607049703,0.43268205902892626,582072.739564556,21633505.007895898,True,0.636,0.9999999995914041
1.8e-07,0.001,0.1089868078766024,0.02688048063353865,0.05764663619785076,0.29518660148875386,0.42141752863145127,29.895337269962727,1112.1578396429916,True,0.63625,0.9999945235710013
2.1544346900318822e-07,0.001,0.0698133441424378,0.02686294939644751,0.05741145009368363,0.2920895664285785,0.41035658295730465,0.4817074924990078,17.93204035007017,False,0.6365000000000001,0.999991495300014
3e-07,0.001,0.06852167930665023,0.026807440564537988,0.056838381774291895,0.2849869473744378,0.3892032156277119,0.4336828774982555,16.17770545659377,False,0.637125,0.9999914409684104
4.6415888336127725e-07,0.001,0.06648443960594787,0.026700355843999213,0.05579904059364646,0.2728451669105467,0.35978959981864367,0.390667056322626,14.631529954325012,False,0.63825,0.9999913810783637
7e-07,0.001,0.06410299118541626,0.02654805886604583,0.05444597292738137,0.25824854875177505,0.33021550420082035,0.3532956421033637,13.307776809068512,False,0.64,0.9999913421278374
1e-06,0.001,0.06161742021163622,0.02635690824086312,0.05291321144285481,0.24307817940805126,0.3032376608543103,0.32139125949201586,12.19381486458743,False,0.64225,0.9999913349230128
1.5e-06,0.001,0.05829149947692684,0.02604452670525692,0.05070857386401037,0.22331656411234213,0.2716326331676405,0.28551520663733687,10.96257996424625,False,0.646,0.9999913802650725
2e-06,0.001,0.05561082618959198,0.02573958445152591,0.048825273557316286,0.20800899693088137,0.249027197611413,0.26052133047360815,10.121427211236647,False,0.64975,0.9999914667730878
3e-06,0.001,0.051411568278657394,0.0251506745536757,0.04571645467582372,0.1852876464328158,0.21759370405553802,0.22642478073589678,9.00273192484996,False,0.657375,0.9999917070590062
