alpha_qg,dt_euler,D_star,D_max,t_first_1pct,rel_err_p50,rel_err_p95,rel_err_p99
1.2e-07,0.001,0.07139120918869576,0.4741833516672478,0.63575,0.049264801711510216,0.608704831683964,0.9441108848204661
1.2e-07,0.0005,0.032275071855660115,0.17541971772057424,0.979,0.024442920678232616,0.2629052533809271,0.34693825043873344
1.2e-07,0.00025,0.015638717368092178,0.08130559847654478,1.380625,0.01217532872436325,0.1250640505845272,0.16187312408432436
1.5e-07,0.001,1467.2982206544284,582072.739564556,0.636,0.04919256426600148,0.598510195404554,0.9034545140069594
1.5e-07,0.0005,0.03214426712801435,0.1737834990415661,0.979375,0.024407383627527562,0.25940486315217615,0.3408477745066945
1.5e-07,0.00025,0.015582770614667113,0.08068568887611588,1.381375,0.012157699931648109,0.1234904132646561,0.15925873331268434
1.8e-07,0.001,0.1089868078766024,29.895337269962727,0.63625,0.04911036033830887,0.5884969269114941,0.8715032984280867
1.8e-07,0.0005,0.03201584182190829,0.17219857544614142,0.97975,0.02437193469738559,0.2559952892007447,0.33496802562063
1.8e-07,0.00025,0.015527665060214819,0.08008102185349958,1.382125,0.012140114655344985,0.12195498468334892,0.15672591875453445
2.1544346900318822e-07,0.001,0.0698133441424378,0.4817074924990078,0.6365000000000001,0.04903560857295797,0.5775490205004569,0.8398226269413688
2.1544346900318822e-07,0.0005,0.03186705654388147,0.17038830784480768,0.9802500000000001,0.02433016670142735,0.2520792794959655,0.32827795327371834
2.1544346900318822e-07,0.00025,0.01546360988421426,0.07938540445567221,1.383,0.01211939440480708,0.12018832060496785,0.15383352872181855
