omega_m,epsilon_q,model,stable,min_a,max_abs_state
0.295,0.0,gaussian,True,0.1,1.5
0.295,0.1,gaussian,True,1e-06,19719.587633339153
0.295,0.25,gaussian,True,1e-06,18823.699864405153
0.295,0.5,gaussian,True,1e-06,571673.437609908
0.295,0.75,gaussian,True,1e-06,301.7257047224857
0.295,1.0,gaussian,True,1e-06,301.7257047224857
0.3,0.0,gaussian,True,0.1,1.5
0.3,0.1,gaussian,True,1e-06,38653.152264074684
0.3,0.25,gaussian,False,1e-06,2443884.7501444463
0.3,0.5,gaussian,True,1e-06,225968.20337359622
0.3,0.75,gaussian,True,1e-06,202.58643647087246
0.3,1.0,gaussian,True,1e-06,202.58643647087246
0.305,0.0,gaussian,True,0.1,1.5
0.305,0.1,gaussian,True,1e-06,451423.81736233906
0.305,0.25,gaussian,True,1e-06,4256.707894755407
0.305,0.5,gaussian,True,1e-06,30634.701267872442
0.305,0.75,gaussian,True,1e-06,1601.3675113466734
0.305,1.0,gaussian,True,1e-06,1601.3675113466734
0.31,0.0,gaussian,True,1e-06,63436.8000592814
0.31,0.1,gaussian,True,1e-06,17531.282639352667
0.31,0.25,gaussian,True,1e-06,18871.961201101847
0.31,0.5,gaussian,True,1e-06,2955.943384504134
0.31,0.75,gaussian,True,1e-06,1428.332327277337
0.31,1.0,gaussian,True,1e-06,1428.332327277337
0.315,0.0,gaussian,False,1e-06,1245937.2830709626
0.315,0.1,gaussian,True,1e-06,5181.961320133512
0.315,0.25,gaussian,True,1e-06,4120.67359967248
0.315,0.5,gaussian,True,1e-06,7146.589810895429
0.315,0.75,gaussian,True,1e-06,210.7003890797028
0.315,1.0,gaussian,True,1e-06,210.7003890797028
