omega_m,max_ratio,stiffness_indicator,quantum_force,trajectory_divergence,continuity_flag
0.305,0.0131752305665349,1.0723614962941158e-07,0.0012137629256574812,1.0829350844516945e-07,1
0.3055,0.0131535679052943,1.1425357536801545e-07,0.0012116827869631354,1.1586108399292559e-07,1
0.306,0.0131319763624425,1.2964494593791006e-07,0.0012096194104511035,1.331531269321937e-07,1
0.3065,0.0131104555883316,2.3487057577239072e-07,0.0012445856595596386,2.6011430892895784e-07,1
0.307,3.857971292116293,4.782503670446311e-05,0.2682133914222781,0.0002178687395041,0
0.3075,3.887098080295273,3.960707541842306e-05,0.5980765724410794,0.000698129574928,0
0.308,3.893514518252388,9.215280771986843e-05,0.7676335168555783,0.0015614441673487,0
0.3085,3.8763420676453273,0.00019207160831449303,0.7596553914832246,0.0030115171821094,0
0.309,3.874072486973787,0.00035230850366923595,0.7630009627505261,0.0067577655291985,0
0.3095,3.875717929680407,0.0003769365062408835,0.7661458777070707,0.0068646613470054,1
0.31,3.878566143465733,0.0005073815529374916,0.7648182083236256,0.00951293959996,0
0.3105,3.850884018042356,0.0006372978736532128,0.763218062124412,0.0123567341434704,0
0.311,3.893117952945434,0.0007720934213039971,0.7647045110421514,0.0162477845055471,0
0.3115,3.886996498272136,0.0010072023390454632,0.7700095198557444,0.0201225671204754,1
0.312,3.869800608192037,0.0011551329290634398,0.7652941444075413,0.0219807673091582,1
0.3125,3.882471636126798,0.0015659451970329921,0.7645045953062656,0.0381483738784925,0
0.313,3.865338914523448,0.001538993654387745,0.7609090686594996,0.0303648994292157,0
0.3135,3.876247399859148,0.0020442102233708464,0.7620662809058062,0.0485225801737209,0
0.314,3.8852250478698056,0.0023783726273742655,0.7653446198289761,0.0575010631269247,0
0.3145,3.850894124364591,0.002772551280440742,0.7584572644899825,0.0662036309272667,0
0.315,3.890480546233144,0.0026728129016140743,0.7625457212087258,0.0499670165838357,0
0.3155,3.886978474695734,0.002954246361285786,0.7691430273671498,0.0614866724776431,0
0.316,3.889595051813893,0.0030405886961575508,0.7647208172000786,0.0617823651332546,1
0.3165,3.87244270776998,0.003838293504024091,0.7613158318961232,0.0927078614635028,1
0.317,3.880819977463272,0.004172775110106952,0.7660386610610839,0.109868919329013,0
